DataPagamentoCMS;Numero_Corretor;Tipo_De_Operacao;Tipo_De_Produto;Banco_Operacao;Orgao_Operacao;Convenio_categoria;Operacao_original;orgão_original;ValorBase;Tipo_Producao
16/06/2023;7;NOVO;EMPRESTIMO CONSIGNADO;FACTA FINANCEIRA;INSS;INSS;Margem Livre (Novo);INSS;800,43;FF
16/06/2023;7;NOVO;EMPRESTIMO CONSIGNADO;FACTA FINANCEIRA;INSS;INSS;Margem Livre (Novo);INSS;5922,39;FF
16/06/2023;7;NOVO;EMPRESTIMO CONSIGNADO;FACTA FINANCEIRA;INSS;INSS;Margem Livre (Novo);INSS;5922,39;FF
16/06/2023;7;NOVO;EMPRESTIMO CONSIGNADO;FACTA FINANCEIRA;INSS;INSS;Margem Livre (Novo);INSS;3531,14;FF
16/06/2023;7;REFINANCIAMENTO DA PORTABILIDADE;EMPRESTIMO CONSIGNADO;BANCO OLÉ CONSIGNADO;INSS;INSS;Refinanciamento da Portabilidade;INSS;1502,7;FF
16/06/2023;7;REFINANCIAMENTO DA PORTABILIDADE;EMPRESTIMO CONSIGNADO;BANCO OLÉ CONSIGNADO;INSS;INSS;Refinanciamento da Portabilidade;INSS;1934,32;FF
16/06/2023;7;NOVO;EMPRESTIMO CONSIGNADO;BANCO C6 BANK;INSS;INSS;Margem Livre (Novo);INSS;2026,03;FF
16/06/2023;7;NOVO;EMPRESTIMO CONSIGNADO;FACTA FINANCEIRA;INSS;INSS;Margem Livre (Novo);INSS;1343,38;FF
16/06/2023;7;FGTS;FGTS;FACTA FINANCEIRA;FGTS;FGTS;Margem Livre (Novo);FGTS;459,53;FF
16/06/2023;7;FGTS;FGTS;FACTA FINANCEIRA;FGTS;FGTS;Margem Livre (Novo);FGTS;911,58;FF
16/06/2023;7;NOVO;EMPRESTIMO CONSIGNADO;BANCO PAN;INSS;INSS;Margem Livre (Novo);INSS;1470,32;FF
16/06/2023;7;REFINANCIAMENTO;EMPRESTIMO CONSIGNADO;BANCO PAN;INSS;INSS;Refinanciamento;INSS;1356,92;FF
16/06/2023;7;FGTS;FGTS;BANCO C6 BANK;FGTS;FGTS;Margem Livre (Novo);FGTS;268,21;FF
16/06/2023;7;FGTS;FGTS;FACTA FINANCEIRA;FGTS;FGTS;Margem Livre (Novo);FGTS;3038,1;FF
16/06/2023;7;FGTS;FGTS;FACTA FINANCEIRA;FGTS;FGTS;Margem Livre (Novo);FGTS;780,72;FF
16/06/2023;7;NOVO;EMPRESTIMO CONSIGNADO;FACTA FINANCEIRA;INSS;INSS;Margem Livre (Novo);INSS;1310,89;FF
16/06/2023;7;NOVO;EMPRESTIMO CONSIGNADO;FACTA FINANCEIRA;FACTA;FACTA;Margem Livre (Novo);FACTA FÁCIL;1000;FF
16/06/2023;7;FGTS;FGTS;FACTA FINANCEIRA;FGTS;FGTS;Margem Livre (Novo);FGTS;1405,41;FF
16/06/2023;7;NOVO;EMPRESTIMO CONSIGNADO;FACTA FINANCEIRA;INSS;INSS;Margem Livre (Novo);INSS;1460,48;FF
16/06/2023;7;REFINANCIAMENTO;EMPRESTIMO CONSIGNADO;BANCO OLÉ CONSIGNADO;INSS;INSS;Refinanciamento;INSS;960,98;FF
16/06/2023;7;REFINANCIAMENTO;EMPRESTIMO CONSIGNADO;BANCO OLÉ CONSIGNADO;INSS;INSS;Refinanciamento;INSS;450,06;FF
16/06/2023;7;REFINANCIAMENTO;EMPRESTIMO CONSIGNADO;BANCO OLÉ CONSIGNADO;INSS;INSS;Refinanciamento;INSS;450,46;FF
16/06/2023;7;NOVO;EMPRESTIMO CONSIGNADO;BANCO OLÉ CONSIGNADO;INSS;INSS;Margem Livre (Novo);INSS;17857,38;FF
16/06/2023;7;NOVO;EMPRESTIMO CONSIGNADO;BANCO OLÉ CONSIGNADO;INSS;INSS;Margem Livre (Novo);INSS;3789,21;FF
16/06/2023;7;NOVO;EMPRESTIMO CONSIGNADO;BANCO OLÉ CONSIGNADO;INSS;INSS;Margem Livre (Novo);INSS;1461,37;FF
16/06/2023;7;NOVO;EMPRESTIMO CONSIGNADO;BANCO OLÉ CONSIGNADO;INSS;INSS;Margem Livre (Novo);INSS;1462,72;FF
16/06/2023;7;FGTS;FGTS;BANCO C6 BANK;FGTS;FGTS;Margem Livre (Novo);FGTS;1600;FF
16/06/2023;7;FGTS;FGTS;BANCO C6 BANK;FGTS;FGTS;Margem Livre (Novo);FGTS;2158,44;FF
16/06/2023;7;FGTS;FGTS;BANCO C6 BANK;FGTS;FGTS;Margem Livre (Novo);FGTS;400,8;FF
16/06/2023;7;FGTS;FGTS;BANCO C6 BANK;FGTS;FGTS;Margem Livre (Novo);FGTS;1295,74;FF
16/06/2023;7;FGTS;FGTS;BANCO C6 BANK;FGTS;FGTS;Margem Livre (Novo);FGTS;376,9;FF
16/06/2023;7;FGTS;FGTS;BANCO C6 BANK;FGTS;FGTS;Margem Livre (Novo);FGTS;387,38;FF
16/06/2023;7;FGTS;FGTS;BANCO C6 BANK;FGTS;FGTS;Margem Livre (Novo);FGTS;336,98;FF
16/06/2023;7;FGTS;FGTS;BANCO C6 BANK;FGTS;FGTS;Margem Livre (Novo);FGTS;1020,03;FF
16/06/2023;7;FGTS;FGTS;BANCO C6 BANK;FGTS;FGTS;Margem Livre (Novo);FGTS;246,7;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;781,36;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;234,83;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;210,66;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;280,73;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;269,36;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;207,62;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;254,07;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;106,2;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;141,78;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;168,45;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;241,03;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;1029,75;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;218,86;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;980,5;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;308,82;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;262,53;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;237,73;FF
16/06/2023;7;REFINANCIAMENTO;EMPRESTIMO CONSIGNADO;BANCO OLÉ CONSIGNADO;INSS;INSS;Refinanciamento;INSS;680,82;FF
16/06/2023;7;FGTS;FGTS;FACTA FINANCEIRA;FGTS;FGTS;Margem Livre (Novo);FGTS;196,34;FF
16/06/2023;7;FGTS;FGTS;FACTA FINANCEIRA;FGTS;FGTS;Margem Livre (Novo);FGTS;197,7;FF
16/06/2023;7;FGTS;FGTS;FACTA FINANCEIRA;FGTS;FGTS;Margem Livre (Novo);FGTS;1930,22;FF
16/06/2023;7;FGTS;FGTS;FACTA FINANCEIRA;FGTS;FGTS;Margem Livre (Novo);FGTS;1400,5;FF
16/06/2023;7;FGTS;FGTS;FACTA FINANCEIRA;FGTS;FGTS;Margem Livre (Novo);FGTS;196,21;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;1564,4;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;448,15;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;230,18;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;130,94;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;408,29;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;83,93;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;232,1;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;2247,54;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;272,56;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;127,14;FF
16/06/2023;7;FGTS;FGTS;BANCO PAN;FGTS;FGTS;Margem Livre (Novo);FGTS;1286,34;FF
