Data;taxa_mensal_consignado
01/12/2020;1,24
01/01/2021;1,26
01/02/2021;1,26
01/03/2021;1,27
01/04/2021;1,3
01/05/2021;1,28
01/06/2021;1,26
01/07/2021;1,29
01/08/2021;1,3
01/09/2021;1,31
01/10/2021;1,38
01/11/2021;1,42
01/12/2021;1,47
01/01/2022;1,55
01/02/2022;1,56
01/03/2022;1,57
01/04/2022;1,59
01/05/2022;1,61
01/06/2022;1,7
01/07/2022;1,74
01/08/2022;1,73
01/09/2022;1,75
01/10/2022;1,96
01/11/2022;1,8
01/12/2022;1,85
01/01/2023;1,84
01/02/2023;1,84
01/03/2023;1,86
01/04/2023;1,85
