Data;DTP - 01 ano(1º REF);Poliomielite(VOP/VIP)(1ºREF);FA(< 1 ano);Varicela;Tríplice Viral - D1;Rotavírus Humano;Pneumocóccica(1 ano);Menigocócica Conj.C(< 1 ano);Pentavalente (< 1 ano);Tríplice Viral - D2;Hepatite A;Pneumocóccica(<1 ano);BCG;Menigocócica Conj.C(1 ano);Poliomielite(< 1 ano);População;Região
01/10/2018;92,52;88,5;87,46;96,31;78,96;113,78;79,65;95,97;116,08;94,82;94,36;116,08;97,12;74,48;114,13;10441;321 - AMUNESC - JOINVILLE
01/05/2015;110,32;102,3;0;71,71;114,33;109,82;106,81;121,86;123,86;72,21;122,86;122,36;83,74;120,85;125,37;2393;314 - AMESC - ARARANGUA
01/05/2016;76,3;0;0,47;75,82;79,59;92,78;73;99,84;79,12;83,83;79,59;99,84;87,6;82,89;79,59;2548;314 - AMESC - ARARANGUA
01/12/2016;72,92;75,27;1,01;75,27;72,92;76,62;72,25;78,63;77,96;74,94;76,62;79,31;88,04;71,24;77,63;3571;325 - AMVALI - JARAGUA DO SUL
01/10/2019;6,56;118,89;102,6;124,77;118,67;109,62;113,91;119,34;42,08;127,38;130,77;111,99;87,78;110,52;114,93;10608;321 - AMUNESC - JOINVILLE
01/12/2017;64,18;62,84;1,34;57,46;68,22;73,26;67,88;80,99;94,43;62,17;64,86;68,22;72,92;67,21;94,76;3571;325 - AMVALI - JARAGUA DO SUL
01/10/2019;2,59;107,2;90,89;119,91;121,82;105,96;117,32;118,9;34,98;122,72;116,42;110,01;74,35;108,32;113,95;10668;315 - AMFRI - ITAJAI
01/07/2020;68,5;60,54;57,13;61,96;62,81;80,44;61,11;83,85;96,35;62,25;65,09;84,98;71,34;66,22;87,26;4222;323 - AMURES - LAGES
01/12/2018;70,04;65,68;67,69;69,7;69,37;103,55;69,03;155,15;92,82;69,7;73,05;105,22;102,21;100,87;92,15;3581;325 - AMVALI - JARAGUA DO SUL
01/10/2015;69,75;70,83;0;42,88;76,13;104,92;74,8;102,63;96,25;44,33;75,89;95,64;97,69;72,76;95,52;9962;321 - AMUNESC - JOINVILLE
01/10/2017;87,39;86,23;0,7;76,26;88,31;117,06;82,75;112,07;111,15;78,69;91,21;117,75;71,62;81,59;111,61;10354;321 - AMUNESC - JOINVILLE
01/10/2018;100,44;97,87;74,98;118,07;87,94;113,64;86,77;124,5;110,72;119,01;97,64;116,91;81,17;104,29;109,2;10275;315 - AMFRI - ITAJAI
01/07/2021;74,77;70,57;49,85;57,36;71,17;70,27;48,65;81,08;67,27;35,14;76,28;77,18;82,28;67,87;66,97;3996;323 - AMURES - LAGES
01/10/2016;73,71;117,4;0,12;82,06;71,28;99,79;66,53;100,83;97,47;80,9;77,3;102,57;90,17;65,02;94,34;10354;321 - AMUNESC - JOINVILLE
01/12/2019;4,85;84,95;98,2;106,59;87,86;107,24;60,4;103,36;21,32;108,21;106,59;107,24;150,85;82,37;115,96;3715;325 - AMVALI - JARAGUA DO SUL
01/10/2017;80,93;78,69;0,5;71,38;76,96;97,41;72,62;112,65;108,07;72,25;81,05;119,34;86,5;70,27;105,09;9683;315 - AMFRI - ITAJAI
01/10/2021;91;92,75;87,93;94,93;98,87;101,06;97,12;100,62;96,68;66,93;94,06;103,68;90,12;92,31;97,56;2743;316 - AMMOC - JOACABA
01/06/2016;87,99;0,62;0,25;89,72;92,2;96,29;82,54;84,15;72,99;87,12;88,36;96,42;116,24;86,01;71,01;9683;315 - AMFRI - ITAJAI
01/02/2020;106,87;84,98;61,96;82,71;78,16;71,62;66,22;82,43;45,48;85,84;77,88;72,76;43,49;75,04;69,35;4222;323 - AMURES - LAGES
01/11/2020;104,36;96,73;86,03;108,53;99,64;107,08;104,9;116,52;131,94;113,43;108,17;109,8;99,09;106,53;111,25;6612;318 - AMOSC - CHAPECO
01/10/2020;135,77;130,5;97,99;144,56;137,09;100,62;133,58;95,35;114,68;125,23;136,21;104,58;75,14;119,08;94,91;2731;316 - AMMOC - JOACABA
01/10/2016;57,38;69,9;0;58,74;64,44;75,72;62,34;68,9;75,97;56,64;55,64;81,54;86,13;56,26;72,13;9683;315 - AMFRI - ITAJAI
01/06/2015;86,27;90,76;0,66;87,19;122,68;121,49;94,45;115,82;102,5;85,21;116,74;100,91;180,72;110,15;99,2;9097;315 - AMFRI - ITAJAI
01/02/2021;75,38;65,17;68,77;76,28;83,78;76,28;57,06;96,4;83,48;73,27;70,57;80,78;68,47;86,19;83,18;3996;323 - AMURES - LAGES
01/02/2022;62,92;63,52;50,58;59,31;85,2;70,75;59,31;79,18;72,25;42,15;70,15;74,96;18,97;75,56;73,76;3986;323 - AMURES - LAGES
01/10/2015;77,04;72,02;0,4;27,97;79,28;115,55;80,47;112,78;105,4;25,33;73,74;99,73;78,62;78,22;112,65;9097;315 - AMFRI - ITAJAI
01/02/2016;80,4;68,99;0,27;70,08;110,55;97,24;100,5;106,47;89,63;70,62;21,46;97,78;126,84;108,37;82,84;4418;322 - AMUREL - TUBARAO
